country_name,year,life_ladder,social_support,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Ivory Coast,2015,4.445,0.704,0.8,-0.059,0.744
Ivory Coast,2016,4.543,0.617,0.769,-0.048,0.757
Ivory Coast,2017,5.038,0.661,0.732,-0.116,0.771
Ivory Coast,2018,5.268,0.621,0.713,-0.054,0.791
Ivory Coast,2019,5.392,0.679,0.736,-0.021,0.799
Ivory Coast,2020,5.257,0.613,0.77,0.012,0.777
Ivory Coast,2021,5.056,0.554,0.717,-0.004,0.716
Ivory Coast,2022,4.849,0.536,0.713,-0.009,0.743
Ivory Coast,2023,5.337,0.623,0.753,-0.057,0.676
Japan,2015,5.88,0.923,0.832,-0.162,0.654
Japan,2016,5.955,0.9,0.836,-0.069,0.698
Japan,2017,5.911,0.882,0.849,-0.213,0.659
Japan,2018,5.794,0.886,0.773,-0.268,0.687
Japan,2019,5.908,0.878,0.806,-0.261,0.617
Japan,2020,6.118,0.887,0.806,-0.266,0.609
Japan,2021,6.091,0.896,0.801,-0.213,0.67
Japan,2022,6.178,0.899,0.789,-0.237,0.643
Japan,2023,5.91,0.842,0.777,-0.222,0.594
Kazakhstan,2015,5.95,0.931,0.74,-0.043,0.714
Kazakhstan,2016,5.534,0.928,0.783,-0.042,0.702
Kazakhstan,2017,5.882,0.914,0.745,-0.041,0.755
Kazakhstan,2018,6.008,0.937,0.84,-0.104,0.824
Kazakhstan,2019,6.272,0.951,0.852,-0.061,0.708
Kazakhstan,2020,6.168,0.966,0.872,-0.062,0.661
Kazakhstan,2021,6.26,0.906,0.807,0.034,0.782
